0: 43,66,94,96,111,132,135,150,191,207,213,237,240,246,273,360,369,397,407,448,458,463,488,490,494,507,546,592,667,687,724,748
1: 14,58,115,122,141,252,267,313,338,339,358,376,392,398,411,441,446,466,474,484,503,522,555,564,566,574,587,657,694,726,738,743
2: 32,85,154,168,173,188,218,248,258,286,349,355,367,405,462,470,487,523,544,609,621,629,638,666,668,679,682,713,759,804,819,828
3: 16,75,83,145,164,221,225,234,253,260,274,308,383,426,437,453,475,527,529,581,795,839,899,944,970,995,1012,16,16,16,16,16
4: 36,50,57,68,98,103,123,126,158,193,256,275,294,298,334,354,380,384,402,416,424,442,449,493,508,603,634,683,709,715,750,798
5: 43,66,70,71,94,96,114,132,139,178,191,207,240,272,273,278,323,360,370,397,422,448,456,458,488,490,494,507,548,552,559,573
6: 8,20,54,109,112,138,179,204,315,324,326,327,381,382,385,431,517,521,605,637,658,673,727,752,865,911,946,961,966,1016,8,8
7: 8,20,23,35,54,89,109,112,130,138,204,282,294,305,326,327,381,382,385,414,419,431,517,598,605,658,673,704,727,747,752,756
8: 124,136,174,181,229,302,412,479,505,515,542,558,563,596,646,670,783,812,855,905,909,971,124,124,124,124,124,124,124,124,124,124
9: 39,82,176,222,245,262,268,338,406,408,411,417,473,497,500,503,567,571,611,619,640,649,693,695,718,738,743,751,762,766,776,792
10: 5,77,134,146,157,205,216,222,223,242,266,306,345,356,396,400,430,432,531,533,541,567,576,595,606,610,632,651,662,678,698,703
11: 4,49,55,58,61,147,165,170,172,185,226,239,255,263,303,309,392,421,447,460,465,467,491,513,520,537,574,587,600,626,690,744
12: 23,137,148,192,214,228,235,301,377,379,568,594,617,710,720,756,773,1001,23,23,23,23,23,23,23,23,23,23,23,23,23,23
13: 13,56,72,76,133,175,200,280,290,394,413,444,471,583,588,625,723,740,755,823,829,841,850,1022,13,13,13,13,13,13,13,13
14: 5,146,216,222,223,262,266,306,396,400,430,441,446,461,533,567,571,576,595,606,610,632,651,662,695,698,703,734,743,767,837,895
15: 33,48,117,141,252,267,284,295,306,313,318,322,339,376,392,398,411,430,441,446,459,461,484,525,555,566,567,574,595,657,662,686
16: 6,37,91,102,119,156,215,224,265,277,291,304,336,343,351,371,390,391,439,478,557,580,616,661,665,702,786,890,897,989,6,6
17: 18,64,67,70,96,128,132,139,191,196,206,237,257,272,297,310,312,363,370,397,422,427,428,448,519,570,573,604,620,628,641,653
18: 4,6,9,12,33,44,53,55,61,92,117,144,147,201,211,219,224,236,238,259,295,375,465,467,496,512,556,579,600,626,642,655
19: 43,66,67,70,96,111,128,132,135,139,191,227,237,240,272,273,297,360,369,397,407,422,427,428,448,458,463,488,490,494,507,546
20: 32,77,91,143,157,159,168,173,188,215,218,244,277,349,351,390,396,400,405,495,531,536,557,580,606,621,661,666,739,759,786,807
21: 133,137,203,204,228,235,316,330,379,413,471,594,674,756,773,849,966,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133
22: 65,148,187,192,214,288,289,301,341,377,445,469,509,524,568,707,710,720,896,983,65,65,65,65,65,65,65,65,65,65,65,65
23: 11,17,40,59,67,96,101,110,111,213,227,232,237,257,272,283,285,293,311,372,428,454,463,480,546,615,623,697,728,749,754,775
24: 43,66,70,71,94,96,114,132,139,191,196,240,273,278,323,360,370,397,422,448,456,458,490,494,507,548,552,559,573,599,628,667
25: 7,84,86,108,120,121,201,208,238,264,270,350,415,436,565,685,688,730,854,872,922,958,969,7,7,7,7,7,7,7,7,7
26: 38,100,116,140,247,261,287,352,434,472,540,543,551,631,636,650,656,672,711,733,758,764,765,826,834,878,935,937,948,997,1021,38
27: 34,73,166,203,281,317,344,362,444,476,560,562,582,639,705,806,810,925,954,990,34,34,34,34,34,34,34,34,34,34,34,34
28: 2,45,106,107,224,265,304,391,468,502,505,616,691,770,852,890,904,916,923,1013,2,2,2,2,2,2,2,2,2,2,2,2
29: 43,94,135,150,207,240,246,273,360,365,369,407,448,458,488,494,507,592,667,676,687,748,779,794,816,827,887,951,986,1002,1014,43
30: 11,17,40,59,101,111,150,213,227,232,237,285,293,311,454,463,480,546,590,615,623,697,728,754,775,782,788,835,886,955,11,11
31: 16,31,75,83,103,145,164,221,225,234,253,260,274,308,383,410,414,426,437,442,453,475,508,527,529,572,581,704,747,795,839,888
32: 130,148,187,192,288,289,301,341,377,445,509,524,528,568,589,707,710,720,896,983,130,130,130,130,130,130,130,130,130,130,130,130
33: 2,45,99,106,107,161,229,468,502,505,616,691,770,852,890,923,968,1013,2,2,2,2,2,2,2,2,2,2,2,2,2,2
34: 34,41,73,149,166,241,281,317,344,362,420,476,560,562,582,639,705,712,806,954,990,34,34,34,34,34,34,34,34,34,34,34
35: 41,60,69,90,149,209,241,307,353,420,482,499,514,586,729,796,929,984,41,41,41,41,41,41,41,41,41,41,41,41,41,41
36: 8,20,54,87,89,109,112,138,167,179,282,294,305,320,326,327,381,382,385,414,419,431,517,521,577,605,624,658,673,727,747,752
37: 32,85,218,248,258,286,332,340,355,367,405,462,470,487,523,538,621,629,638,666,679,682,804,818,836,838,868,883,898,924,992,1011
38: 4,14,48,58,115,141,147,165,172,252,267,284,313,318,339,358,376,392,398,441,447,466,474,484,525,555,564,566,574,587,657,694
39: 6,9,12,44,53,55,61,92,102,144,199,224,236,238,259,265,295,304,350,371,375,496,518,556,579,626,642,655,665,702,854,870
40: 31,83,194,221,253,269,426,437,442,453,475,572,581,701,719,795,851,853,888,889,899,908,944,31,31,31,31,31,31,31,31,31
41: 4,15,22,33,47,48,104,117,165,172,185,211,219,313,358,376,392,398,421,474,484,491,512,513,525,550,555,587,761,802,821,824
42: 63,65,137,180,192,214,328,366,443,506,553,568,617,773,789,845,933,1001,63,63,63,63,63,63,63,63,63,63,63,63,63,63
43: 34,73,137,200,203,281,316,317,330,379,413,444,471,526,582,588,639,674,823,829,925,954,34,34,34,34,34,34,34,34,34,34
44: 4,15,22,33,47,48,49,55,58,61,104,147,165,172,185,211,219,239,255,263,313,339,358,376,392,421,447,465,466,467,484,491
45: 66,70,71,94,114,132,139,196,240,273,278,323,360,370,397,456,458,490,507,548,552,559,573,599,601,602,628,667,699,737,746,748
46: 36,40,57,97,98,123,125,126,193,250,256,269,298,311,329,342,357,372,384,401,409,424,442,449,452,508,547,590,603,607,669,683
47: 4,6,9,12,33,44,53,55,61,92,117,144,147,201,211,219,224,236,238,259,295,375,465,467,496,512,556,579,600,626,642,655
48: 2,6,9,12,44,53,61,92,102,144,199,201,224,236,238,259,265,304,350,371,375,415,496,518,556,579,626,642,665,690,702,770
49: 11,17,40,59,67,96,101,110,111,213,227,232,237,257,272,283,285,293,311,372,428,454,463,480,546,615,623,697,728,749,754,775
50: 99,124,136,174,229,302,412,468,505,515,563,586,670,812,905,929,968,971,1013,99,99,99,99,99,99,99,99,99,99,99,99,99
51: 5,77,134,146,157,205,216,222,223,242,266,306,345,356,396,400,430,432,531,533,541,567,576,595,606,610,632,651,662,678,698,703
52: 15,22,47,62,104,122,165,172,185,189,314,358,376,387,421,466,474,484,491,578,587,597,694,732,761,784,824,844,880,914,934,940
53: 8,20,78,87,112,131,138,167,179,271,282,294,320,324,326,327,381,382,385,431,517,521,577,605,613,624,637,658,671,673,677,684
54: 21,25,46,52,64,67,110,128,155,184,206,257,283,297,310,312,333,363,372,401,427,428,516,532,570,604,615,641,652,653,736,749
55: 118,178,296,365,378,399,481,485,534,687,689,794,803,809,847,884,920,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118
56: 23,54,109,112,130,204,228,235,377,445,594,710,720,752,756,769,966,1016,23,23,23,23,23,23,23,23,23,23,23,23,23,23
57: 7,84,86,108,120,121,201,208,238,243,264,270,303,350,375,415,436,460,565,685,688,730,872,881,922,932,958,969,991,7,7,7
58: 21,25,46,52,64,88,105,113,127,151,152,155,182,184,190,195,251,254,276,292,333,361,438,489,570,591,604,614,652,654,663,757
59: 21,36,46,52,57,88,126,155,184,206,251,257,275,283,310,333,334,363,372,401,416,424,429,438,449,516,532,547,554,603,604,652
60: 30,65,180,296,328,366,393,443,469,481,485,501,584,622,664,689,789,847,30,30,30,30,30,30,30,30,30,30,30,30,30,30
61: 7,84,86,108,120,121,201,208,238,264,270,350,415,436,565,685,688,730,854,872,922,958,969,7,7,7,7,7,7,7,7,7
62: 10,20,36,50,68,87,103,123,158,167,256,275,279,282,294,320,326,334,354,380,381,385,402,416,493,575,577,624,634,671,677,684
63: 26,27,28,169,177,220,231,233,319,321,352,374,387,404,483,492,647,656,659,675,721,731,784,785,797,885,26,26,26,26,26,26
64: 7,9,12,44,53,61,84,86,92,108,120,121,144,199,201,208,238,259,264,270,350,375,415,460,518,556,565,642,688,730,763,801
65: 32,85,154,168,173,188,218,248,258,286,349,355,367,405,462,470,487,523,544,609,621,629,638,666,668,679,682,713,759,804,819,828
66: 16,31,75,83,194,221,253,383,426,437,453,475,529,572,581,701,719,795,851,888,889,899,944,16,16,16,16,16,16,16,16,16
67: 56,72,76,175,280,290,337,348,368,394,406,408,457,473,498,510,539,569,583,625,648,718,740,755,766,858,869,939,975,996,1017,1022
68: 4,15,33,47,48,55,58,61,92,117,147,165,172,185,211,219,255,284,295,313,322,339,376,392,447,459,465,467,484,491,512,513
69: 21,36,52,57,68,88,98,123,126,158,182,256,275,292,333,334,354,384,401,416,424,429,438,449,493,516,532,554,575,603,634,709
70: 50,87,103,217,253,260,274,279,282,294,326,380,383,402,410,414,419,426,577,677,745,747,787,795,798,888,894,908,927,931,960,961
71: 0,28,38,74,79,100,129,177,189,202,247,314,352,364,388,433,434,483,504,522,540,543,551,597,612,631,636,650,656,659,672,692
72: 36,57,75,83,103,123,125,158,193,253,256,269,274,298,342,354,383,384,410,424,437,442,449,452,508,572,581,603,607,683,701,715
73: 57,97,98,125,193,232,250,256,269,288,298,329,342,357,384,409,424,442,449,452,508,572,581,590,603,607,623,669,683,701,715,716
74: 7,9,12,44,53,61,84,92,108,120,121,144,199,201,236,238,239,259,264,270,303,350,375,415,436,460,465,518,556,600,626,642
75: 19,39,78,131,163,245,262,271,325,337,345,348,408,418,432,455,457,510,533,585,593,613,627,633,693,700,717,718,767,776,778,792
76: 8,20,23,35,54,89,109,112,130,138,282,294,305,327,414,598,605,658,673,704,727,747,752,756,769,862,961,966,1012,1016,8,8
77: 3,6,37,91,102,117,119,215,224,236,277,284,291,295,318,322,343,390,459,478,579,580,642,655,665,686,702,739,760,786,807,825
78: 2,6,37,102,106,119,156,215,224,265,291,304,336,343,351,371,390,391,439,478,496,557,580,616,661,665,702,786,790,852,890,897
